0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 100 0 16 56 0 0 255 100 149 150 156 0 154 158 165 0 0 0 25 57 0 33557510
3004 20 8 20 56 0 8 200 100 174 176 187 0 184 189 194 203 36 1 27 59 75 4194310
9 30 8 20 56 0 8 170 100 207 209 220 0 217 222 227 236 37 0 27 60 75 4194310
64 700 15 20 56 0 8 10 500 241 243 269 0 255 271 0 0 48 0 28 71 80 4194310
-1 1000 0 20 16 0 8 0 100 281 0 0 0 0 0 0 0 0 0 0 0 0 2147484176
66 300 10 20 56 0 8 100 500 321 323 343 335 339 345 0 351 106 0 27 74 105 4194310
-1 1000 10 11 8 10 8 0 100 316 0 0 0 0 318 0 0 107 0 0 82 0 67088
-1 1000 0 20 16 0 8 0 100 311 0 0 0 0 0 0 0 0 0 0 0 0 2147484176
67 600 8 48 64 0 8 80 1000 362 364 386 0 376 388 0 398 49 0 29 100 75 4194310
-1 1000 20 6 8 8 8 0 100 357 0 0 0 0 359 0 0 16 0 0 17 0 2147550736
65 70 8 20 56 0 8 170 100 406 408 420 0 416 422 429 435 37 0 27 60 75 4194310
3001 60 8 20 56 0 8 200 100 442 444 455 452 452 457 462 470 39 0 27 62 76 4194310
3002 150 10 30 56 0 8 180 400 475 477 488 485 0 490 0 496 41 52 26 64 77 4194310
58 150 10 30 56 0 8 180 400 475 477 488 485 0 490 0 496 41 52 26 64 77 4456454
3005 400 8 31 56 0 8 128 400 502 503 507 0 504 510 0 516 42 0 26 65 77 4211206
3003 1000 8 24 64 0 8 50 1000 527 529 540 537 537 542 0 549 43 0 26 67 77 4194310
-1 1000 15 6 8 8 8 0 100 522 0 0 0 0 524 0 0 16 0 0 17 0 2147550736
69 500 8 24 64 0 8 50 1000 556 558 569 566 566 571 0 578 47 0 26 72 77 4194310
3006 100 8 16 56 3 8 256 50 585 587 593 0 589 595 0 0 0 51 26 17 77 16902
7 3000 12 128 100 0 8 40 1000 601 603 619 0 615 621 0 0 45 2 26 69 77 4194310
68 500 12 64 64 0 8 128 600 632 634 651 0 647 653 0 660 46 0 26 70 78 4194310
16 4000 16 40 110 0 8 20 1000 674 676 690 0 684 691 0 0 44 0 26 68 77 4194310
71 400 8 31 56 0 8 128 400 701 702 712 0 708 714 0 720 50 0 30 73 77 4211206
84 50 8 20 56 0 8 170 100 726 728 742 0 736 744 749 758 101 0 27 102 75 4194310
