;Format of textures:
;TextureName	Width	Height
;*	PatchName	Xoffset	Yoffset
ASHWALL     		64	128
*	W104_1      	0	0
BIGDOOR3    		128	128
*	DOOR9_2     	0	0
*	CJSPLAT1    	25	25
BIGDOOR5    		128	128
*	COMP03_6    	0	0
BIGDOOR6    		128	128
*	DOOR11_1    	0	0
BIGDOOR7    		128	128
*	W105_1      	0	0
BLODGR1     		32	128
*	TP5_1       	0	0
BLODGR2     		32	128
*	TP5_2       	0	0
BLODGR3     		32	128
*	TP5_3       	0	0
BLODGR4     		32	128
*	TP5_4       	0	0
BLODRIP1    		64	128
*	RP2_1       	0	0
BLODRIP2    		64	128
*	RP2_2       	0	0
BLODRIP3    		64	128
*	RP2_3       	0	0
BLODRIP4    		64	128
*	RP2_4       	0	0
BROVINE     		256	128
*	SW12_4      	0	0
*	SW12_4      	32	0
*	SW12_4      	64	0
*	SW12_4      	96	0
*	SW12_4      	128	0
*	SW12_4      	160	0
*	SW12_4      	192	0
*	SW12_4      	224	0
*	W107_1      	0	0
BROVINE2    		256	128
*	SW12_4      	0	0
*	SW12_4      	32	0
*	SW12_4      	64	0
*	SW12_4      	96	0
*	SW12_4      	128	0
*	SW12_4      	160	0
*	SW12_4      	192	0
*	SW12_4      	224	0
*	W106_1      	0	0
BROWNWEL    		128	256
*	WALL23_1    	0	0
CEMENT1     		128	128
*	WALL52_1    	0	0
CEMENT2     		128	128
*	WALL53_1    	0	0
CEMENT3     		128	128
*	WALL54_1    	0	0
CEMENT4     		128	128
*	WALL55_1    	0	0
CEMENT5     		128	128
*	WALL52_2    	0	0
CEMENT6     		128	128
*	WALL54_2    	0	0
CEMPOIS     		128	128
*	WALL00_3    	0	0
COMPBLUE    		64	128
*	COMP03_2    	0	64
*	COMP03_2    	0	0
COMPOHSO    		64	256
*	WALL78_1    	0	0
COMPWERD    		64	128
*	COMP04_6    	0	0
*	COMP04_6    	0	64
CRATE1      		64	128
*	BCRATEL1    	0	0
*	BCRATER1    	32	0
*	BCRATEL1    	0	64
*	BCRATER1    	32	64
CRATE2      		64	128
*	GCRATEL1    	0	0
*	GCRATER1    	32	0
*	GCRATEL1    	0	64
*	GCRATER1    	32	64
CRATELIT    		64	128
*	SGCRATE2    	0	0
*	SGCRATE2    	32	0
*	BCRATEL1    	0	64
*	BCRATER1    	32	64
CRATINY     		64	16
*	VGCRATE1    	0	0
*	VGCRATE1    	16	0
*	VGCRATE1    	32	0
*	VGCRATE1    	48	0
CRATWIDE    		128	128
*	BCRATEL1    	0	64
*	BCRATEM1    	40	64
*	BCRATEM1    	32	64
*	BCRATEM1    	48	64
*	BCRATEM1    	56	64
*	BCRATER1    	96	64
*	BCRATEM1    	88	64
*	BCRATEM1    	80	64
*	BCRATEM1    	72	64
*	BCRATEM1    	64	64
*	GCRATEL1    	0	0
*	GCRATER1    	96	0
*	GCRATEM1    	48	0
*	GCRATEM1    	40	0
*	GCRATEM1    	32	0
*	GCRATEM1    	72	0
*	GCRATEM1    	64	0
*	GCRATEM1    	56	0
*	GCRATEM1    	80	0
*	GCRATEM1    	88	0
DOORBLU2    		128	128
